journey_key,customer_key,product_key,date_key,stage,action,duration,visit_count,duration_bucket
1,64,18,558,Checkout,Drop-off,,1,Long
2,94,11,952,Checkout,Drop-off,,1,Long
3,34,8,562,ProductPage,View,235.0,1,Long
4,33,18,910,Checkout,Drop-off,,1,Long
5,91,10,73,Homepage,Click,156.0,1,Long
6,54,11,1115,Homepage,View,264.0,1,Long
7,80,4,268,Homepage,View,298.0,1,Long
8,99,10,946,ProductPage,View,287.0,1,Long
9,31,4,926,ProductPage,View,278.0,1,Long
10,44,16,875,ProductPage,View,30.0,1,Medium
11,23,12,265,Checkout,Drop-off,,1,Long
12,97,12,240,ProductPage,View,227.0,1,Long
13,83,5,568,Homepage,View,223.0,1,Long
14,14,13,1067,ProductPage,View,13.0,1,Short
15,9,1,1070,ProductPage,View,292.0,1,Long
16,14,16,595,Homepage,View,46.0,1,Medium
17,67,2,1107,Homepage,View,185.0,1,Long
18,70,15,1048,Homepage,View,191.0,1,Long
19,9,1,624,Homepage,View,187.0,1,Long
20,44,18,446,ProductPage,View,154.0,1,Long
21,58,20,463,Checkout,Drop-off,,1,Long
22,12,1,1085,Homepage,Click,20.0,1,Short
23,58,1,217,Homepage,View,48.0,1,Medium
24,77,6,938,Checkout,Drop-off,,1,Long
25,75,12,358,ProductPage,View,239.0,1,Long
26,78,20,504,Homepage,View,129.0,1,Long
27,36,9,619,Homepage,View,214.0,1,Long
28,1,20,1031,ProductPage,View,64.0,1,Medium
29,12,17,914,Homepage,View,205.0,1,Long
30,48,2,154,ProductPage,View,242.0,1,Long
31,81,19,125,Homepage,View,130.0,1,Long
32,67,11,278,Checkout,Drop-off,,1,Long
33,2,5,984,Homepage,View,26.0,1,Short
34,55,15,330,Homepage,View,233.0,1,Long
35,60,19,203,Homepage,Click,162.0,1,Long
36,17,2,355,Checkout,Purchase,137.0,1,Long
37,38,17,566,Checkout,Drop-off,,1,Long
38,13,18,85,ProductPage,View,227.0,1,Long
39,63,18,253,ProductPage,View,233.0,1,Long
40,4,12,753,Homepage,View,110.0,1,Medium
41,92,5,1089,ProductPage,View,124.0,1,Long
42,95,10,790,Homepage,View,172.0,1,Long
43,21,8,835,Homepage,View,40.0,1,Medium
44,29,3,456,Homepage,View,193.0,1,Long
45,94,6,189,ProductPage,View,118.0,1,Medium
46,30,19,1062,Homepage,View,210.0,1,Long
47,30,20,445,Checkout,Drop-off,,1,Long
48,52,13,794,Homepage,View,241.0,1,Long
49,93,14,130,Homepage,Click,69.0,1,Medium
50,5,9,506,Homepage,View,44.0,1,Medium
51,65,8,1034,ProductPage,View,272.0,1,Long
52,15,9,981,Checkout,Drop-off,,1,Long
53,24,4,492,Homepage,View,182.0,1,Long
54,9,11,720,Checkout,Drop-off,,1,Long
55,1,7,473,Checkout,Drop-off,,1,Long
56,97,11,385,Homepage,Click,234.0,1,Long
57,52,14,733,Homepage,View,253.0,1,Long
58,51,20,829,ProductPage,View,174.0,1,Long
59,32,8,628,Homepage,View,238.0,1,Long
60,19,6,930,ProductPage,View,190.0,1,Long
61,69,20,955,Homepage,Click,14.0,1,Short
62,42,1,692,Homepage,View,186.0,1,Long
63,51,15,904,Homepage,View,139.0,1,Long
64,86,20,215,ProductPage,View,77.0,1,Medium
65,54,10,388,Homepage,View,101.0,1,Medium
66,52,2,351,Homepage,Click,242.0,1,Long
67,25,1,172,ProductPage,Click,57.0,1,Medium
68,45,16,150,ProductPage,Click,250.0,1,Long
69,82,19,814,ProductPage,Click,158.0,1,Long
70,75,17,219,Homepage,View,297.0,1,Long
71,40,20,225,Checkout,Drop-off,,1,Long
72,47,15,266,Homepage,Click,34.0,1,Medium
73,20,16,657,Homepage,View,17.0,1,Short
74,81,13,666,Homepage,Click,291.0,1,Long
75,93,1,671,ProductPage,Click,279.0,1,Long
76,42,17,911,Checkout,Purchase,261.0,1,Long
77,36,4,184,Homepage,Click,100.0,1,Medium
78,46,17,928,Checkout,Purchase,122.0,1,Long
79,75,10,348,Homepage,View,244.0,1,Long
80,64,6,858,Homepage,Click,161.0,1,Long
81,89,15,1062,Checkout,Purchase,246.0,1,Long
82,64,2,920,Homepage,Click,261.0,1,Long
83,54,8,414,ProductPage,Click,83.0,1,Medium
84,79,15,830,Checkout,Purchase,48.0,1,Medium
85,56,4,177,Homepage,Click,166.0,1,Long
86,83,3,280,Homepage,View,79.0,1,Medium
87,2,2,299,Homepage,View,277.0,1,Long
88,15,20,1114,Homepage,View,136.0,1,Long
89,14,9,870,Homepage,Click,104.0,1,Medium
90,49,8,846,Homepage,View,248.0,1,Long
91,99,10,372,Homepage,Click,244.0,1,Long
92,88,14,830,Homepage,View,29.0,1,Short
93,43,8,265,Checkout,Drop-off,,1,Long
94,15,18,660,Homepage,Click,143.0,1,Long
95,60,8,654,Homepage,View,182.0,1,Long
96,22,9,606,ProductPage,View,212.0,1,Long
97,92,19,908,Homepage,View,203.0,1,Long
98,95,8,907,Homepage,Click,68.0,1,Medium
99,58,16,584,Checkout,Purchase,87.0,1,Medium
100,92,10,493,ProductPage,View,237.0,1,Long
101,24,12,501,Homepage,Click,37.0,1,Medium
102,33,16,510,Homepage,View,165.0,1,Long
103,7,11,1102,Checkout,Drop-off,,1,Long
104,51,18,154,Homepage,Click,156.0,1,Long
105,68,2,354,Homepage,View,80.0,1,Medium
106,90,11,673,ProductPage,View,96.0,1,Medium
107,76,19,105,ProductPage,View,215.0,1,Long
108,14,5,96,ProductPage,View,245.0,1,Long
109,65,7,988,Checkout,Drop-off,,1,Long
110,20,18,69,ProductPage,View,232.0,1,Long
111,72,12,193,Homepage,View,264.0,1,Long
112,30,12,868,ProductPage,View,203.0,1,Long
113,79,18,1111,Checkout,Drop-off,,1,Long
114,92,10,208,ProductPage,View,38.0,1,Medium
115,38,14,403,Homepage,View,297.0,1,Long
116,27,1,516,ProductPage,View,297.0,1,Long
117,46,5,1110,ProductPage,View,103.0,1,Medium
118,26,14,877,ProductPage,View,71.0,1,Medium
119,93,20,834,Homepage,Click,172.0,1,Long
120,37,17,456,Checkout,Purchase,180.0,1,Long
121,86,5,1052,Homepage,Click,33.0,1,Medium
122,96,19,1057,ProductPage,Click,201.0,1,Long
123,59,15,497,Homepage,View,93.0,1,Medium
124,10,8,605,ProductPage,View,262.0,1,Long
125,67,19,920,Checkout,Drop-off,,1,Long
126,39,4,776,Homepage,Click,142.0,1,Long
127,5,4,376,Homepage,View,287.0,1,Long
128,34,8,215,Homepage,Click,13.0,1,Short
129,91,20,948,Homepage,Click,283.0,1,Long
130,41,13,647,Homepage,Click,73.0,1,Medium
131,98,13,771,Homepage,View,15.0,1,Short
132,68,14,199,ProductPage,View,56.0,1,Medium
133,46,20,568,Homepage,View,74.0,1,Medium
134,40,9,379,Homepage,Click,34.0,1,Medium
135,52,20,885,ProductPage,Click,168.0,1,Long
136,77,2,546,Homepage,View,129.0,1,Long
137,40,6,69,ProductPage,View,85.0,1,Medium
138,26,18,893,ProductPage,View,172.0,1,Long
139,24,5,1079,Homepage,View,248.0,1,Long
140,11,12,422,Checkout,Drop-off,,1,Long
141,57,7,579,ProductPage,View,15.0,1,Short
142,53,14,548,Homepage,Click,10.0,1,Short
143,95,17,834,Homepage,Click,262.0,1,Long
144,95,12,1022,Homepage,Click,179.0,1,Long
145,60,19,1056,Homepage,Click,62.0,1,Medium
146,86,1,1103,Homepage,View,208.0,1,Long
147,86,18,142,Homepage,View,294.0,1,Long
148,15,3,1057,ProductPage,View,185.0,1,Long
149,93,7,544,ProductPage,View,18.0,1,Short
150,58,16,507,Homepage,Click,263.0,1,Long
151,79,20,339,Checkout,Purchase,298.0,1,Long
152,85,5,580,Checkout,Drop-off,,1,Long
153,39,19,1024,Homepage,Click,253.0,1,Long
154,85,20,247,Homepage,View,22.0,1,Short
155,82,2,163,Homepage,View,195.0,1,Long
156,26,3,688,Checkout,Drop-off,,1,Long
157,96,20,1015,Homepage,View,86.0,1,Medium
158,17,18,1085,Homepage,Click,97.0,1,Medium
159,36,7,477,ProductPage,Click,160.0,1,Long
160,83,12,1116,Checkout,Purchase,240.0,1,Long
161,17,19,777,ProductPage,View,50.0,1,Medium
162,52,10,486,ProductPage,View,139.0,1,Long
163,49,2,447,Homepage,View,101.0,1,Medium
164,90,9,1054,Homepage,Click,226.0,1,Long
165,93,15,658,Homepage,Click,169.0,1,Long
166,44,13,667,Checkout,Purchase,141.0,1,Long
167,8,4,80,ProductPage,View,133.0,1,Long
168,88,17,124,ProductPage,View,274.0,1,Long
169,40,19,93,Homepage,View,255.0,1,Long
170,98,13,1055,ProductPage,View,33.0,1,Medium
171,29,2,283,Homepage,Click,287.0,1,Long
172,33,8,334,ProductPage,Click,212.0,1,Long
173,64,5,637,ProductPage,Click,231.0,1,Long
174,62,7,743,Homepage,Click,299.0,1,Long
175,82,16,1052,Checkout,Purchase,291.0,1,Long
176,80,6,163,Checkout,Drop-off,,1,Long
177,5,17,462,ProductPage,View,237.0,1,Long
178,93,10,65,Homepage,View,100.0,1,Medium
179,99,5,915,ProductPage,View,187.0,1,Long
180,54,17,727,Homepage,View,110.0,1,Medium
181,44,20,901,Checkout,Drop-off,,1,Long
182,33,13,874,ProductPage,View,248.0,1,Long
183,54,16,630,ProductPage,View,129.0,1,Long
184,7,11,670,ProductPage,View,250.0,1,Long
185,27,6,394,ProductPage,View,165.0,1,Long
186,25,2,400,ProductPage,View,287.0,1,Long
187,51,14,1027,Checkout,Drop-off,,1,Long
188,94,2,789,Homepage,View,21.0,1,Short
189,57,8,263,Checkout,Drop-off,,1,Long
190,90,18,441,Homepage,View,257.0,1,Long
191,40,10,231,Homepage,Click,100.0,1,Medium
192,82,3,121,Checkout,Purchase,118.0,1,Medium
193,88,13,1027,Homepage,Click,121.0,1,Long
194,13,11,879,Homepage,View,54.0,1,Medium
195,8,4,986,Homepage,Click,16.0,1,Short
196,25,8,997,ProductPage,Click,25.0,1,Short
197,29,9,677,ProductPage,Click,295.0,1,Long
198,70,8,1119,Homepage,View,275.0,1,Long
199,43,11,429,ProductPage,View,17.0,1,Short
200,83,18,451,ProductPage,View,78.0,1,Medium
201,75,10,877,Checkout,Drop-off,,1,Long
202,87,12,143,ProductPage,View,145.0,1,Long
203,44,11,759,Homepage,View,230.0,1,Long
204,99,20,1006,Homepage,Click,21.0,1,Short
205,41,19,93,Homepage,View,282.0,1,Long
206,39,5,142,ProductPage,View,118.0,1,Medium
207,46,3,64,Homepage,Click,224.0,1,Long
208,43,4,395,ProductPage,Drop-off,,1,Long
209,36,12,1043,ProductPage,View,246.0,1,Long
210,63,7,281,Checkout,Drop-off,,1,Long
211,54,9,506,ProductPage,View,255.0,1,Long
212,99,15,824,Homepage,View,269.0,1,Long
213,54,3,828,ProductPage,View,145.0,1,Long
214,33,9,41,ProductPage,View,200.0,1,Long
215,71,7,556,Checkout,Drop-off,,1,Long
216,33,6,36,Checkout,Drop-off,,1,Long
217,82,16,269,Homepage,View,118.0,1,Medium
218,19,3,886,Homepage,View,155.0,1,Long
219,15,10,760,Homepage,Click,280.0,1,Long
220,43,5,589,ProductPage,Click,235.0,1,Long
221,52,12,993,Homepage,View,213.0,1,Long
222,66,15,458,Homepage,View,227.0,1,Long
223,53,1,463,ProductPage,View,184.0,1,Long
224,84,10,842,Checkout,Drop-off,,1,Long
225,12,10,362,ProductPage,View,163.0,1,Long
226,72,20,185,Homepage,Click,206.0,1,Long
227,7,6,518,ProductPage,Click,171.0,1,Long
228,40,6,46,Homepage,Click,174.0,1,Long
229,16,17,792,ProductPage,Drop-off,,1,Long
230,78,20,1079,ProductPage,View,176.0,1,Long
231,61,12,974,Homepage,View,206.0,1,Long
232,81,2,941,Checkout,Drop-off,,1,Long
233,92,15,162,ProductPage,View,252.0,1,Long
234,54,20,795,ProductPage,View,191.0,1,Long
235,33,7,421,ProductPage,View,109.0,1,Medium
236,10,11,970,Homepage,Click,209.0,1,Long
237,29,4,208,Homepage,Click,260.0,1,Long
238,93,14,1003,Homepage,View,153.0,1,Long
