engagement_key,product_key,date_key,campaign_id,content_type,likes,views_clicks_combined,engagement_score,views,clicks
1,9,273,1,Blog,190,1883-671,,1883,671
2,20,118,18,Blog,114,5280-532,,5280,532
3,14,373,7,video,32,1905-204,,1905,204
4,20,783,19,Video,17,2766-257,,2766,257
5,15,448,6,newsletter,306,5116-1524,,5116,1524
6,19,200,18,Socialmedia,648,8237-1641,,8237,1641
7,2,1036,12,SOCIALMEDIA,1,750-34,,750,34
8,6,852,17,Blog,1,891-35,,891,35
9,16,475,13,blog,123,5571-1527,,5571,1527
10,15,368,15,Blog,25,4279-297,,4279,297
11,6,543,19,Socialmedia,29,4297-234,,4297,234
12,10,197,3,socialmedia,396,7877-2037,,7877,2037
13,18,797,12,video,12,1796-136,,1796,136
14,2,269,16,Socialmedia,317,6837-2251,,6837,2251
15,19,1055,6,Socialmedia,0,36-1,,36,1
16,16,218,17,SOCIALMEDIA,276,5980-1227,,5980,1227
17,10,534,18,BLOG,9,563-104,,563,104
18,8,696,19,Video,0,321-15,,321,15
19,9,333,11,Newsletter,118,1442-400,,1442,400
20,6,677,4,BLOG,0,41-7,,41,7
21,6,759,1,Blog,7,1037-111,,1037,111
22,16,491,12,video,357,5543-1288,,5543,1288
23,18,758,8,Newsletter,4,522-43,,522,43
24,16,537,8,Newsletter,65,3651-377,,3651,377
25,10,1083,6,Newsletter,0,487-5,,487,5
26,20,917,20,Video,2,1742-71,,1742,71
27,3,605,4,Video,72,3225-337,,3225,337
28,16,387,2,Socialmedia,7,165-48,,165,48
29,20,976,17,video,0,58-2,,58,2
30,17,650,20,Newsletter,14,1010-196,,1010,196
31,4,923,4,socialmedia,2,1079-44,,1079,44
32,16,1070,19,blog,0,441-9,,441,9
33,7,934,1,BLOG,3,1415-76,,1415,76
34,4,139,11,Socialmedia,29,1223-127,,1223,127
35,15,969,13,VIDEO,1,704-17,,704,17
36,19,924,9,NEWSLETTER,6,1788-75,,1788,75
37,1,55,7,Video,400,9759-3095,,9759,3095
38,15,33,16,Newsletter,449,2674-956,,2674,956
39,11,276,11,Video,373,4881-1204,,4881,1204
40,4,489,4,Video,215,3222-793,,3222,793
41,12,549,2,Socialmedia,193,4654-1083,,4654,1083
42,8,235,17,Blog,840,6771-2617,,6771,2617
43,1,255,8,Newsletter,92,3640-370,,3640,370
44,8,862,9,Newsletter,3,1341-66,,1341,66
45,12,689,15,Blog,4,797-103,,797,103
46,1,669,1,Blog,11,2549-228,,2549,228
47,12,556,3,Video,33,1145-130,,1145,130
48,8,788,17,Video,15,1648-163,,1648,163
49,3,956,19,Newsletter,0,171-8,,171,8
50,14,571,15,SOCIALMEDIA,11,1066-110,,1066,110
51,17,818,6,NEWSLETTER,44,2725-358,,2725,358
52,15,874,3,Blog,3,1617-70,,1617,70
53,15,660,16,Video,2,599-39,,599,39
54,17,1027,13,Blog,0,706-34,,706,34
55,6,853,18,Blog,18,2387-201,,2387,201
56,5,1115,10,socialmedia,1,922-39,,922,39
57,20,774,7,Video,3,944-91,,944,91
58,9,1073,17,video,0,578-11,,578,11
59,1,960,10,video,0,219-7,,219,7
60,7,1050,19,socialmedia,0,404-15,,404,15
61,7,420,16,blog,72,2847-528,,2847,528
62,10,911,18,Socialmedia,2,1521-33,,1521,33
63,16,849,16,NEWSLETTER,6,1473-97,,1473,97
64,15,1099,1,video,0,111-3,,111,3
65,12,309,14,Blog,30,524-94,,524,94
66,5,652,4,VIDEO,23,1493-141,,1493,141
67,19,558,2,Newsletter,176,5147-788,,5147,788
68,19,690,3,Video,5,239-43,,239,43
69,8,528,2,blog,68,2935-303,,2935,303
70,11,517,12,Socialmedia,10,228-49,,228,49
71,14,94,11,Video,459,4368-1156,,4368,1156
72,1,37,17,BLOG,657,6991-2499,,6991,2499
73,3,858,18,socialmedia,0,40-4,,40,4
74,7,265,7,Newsletter,64,4098-761,,4098,761
75,18,518,13,Video,12,565-137,,565,137
76,3,101,14,Blog,545,6205-2834,,6205,2834
77,18,270,20,Socialmedia,143,1671-482,,1671,482
78,2,920,17,SOCIALMEDIA,2,713-44,,713,44
79,16,147,9,video,397,3632-1500,,3632,1500
80,12,766,19,video,8,1535-243,,1535,243
81,2,578,11,NEWSLETTER,11,581-117,,581,117
82,20,147,8,Socialmedia,142,1354-425,,1354,425
83,2,813,9,video,14,1933-158,,1933,158
84,14,173,18,socialmedia,116,6319-832,,6319,832
85,20,890,18,Video,0,36-3,,36,3
86,7,858,3,BLOG,5,1576-45,,1576,45
87,2,605,2,BLOG,111,3142-602,,3142,602
88,7,305,12,socialmedia,121,1360-440,,1360,440
89,13,728,2,Socialmedia,1,214-15,,214,15
90,9,176,7,Video,595,3338-1402,,3338,1402
91,13,543,7,Blog,9,379-95,,379,95
92,8,903,3,video,3,516-49,,516,49
93,17,81,1,SOCIALMEDIA,147,2989-1283,,2989,1283
94,17,80,15,Video,389,2595-933,,2595,933
95,7,624,1,newsletter,22,1193-209,,1193,209
96,13,593,14,Blog,32,712-142,,712,142
97,7,944,16,blog,3,696-47,,696,47
98,8,994,11,blog,0,231-10,,231,10
99,4,502,17,Blog,119,3511-479,,3511,479
100,13,522,15,Video,34,2657-175,,2657,175
101,12,135,2,Newsletter,755,7637-3102,,7637,3102
102,7,122,7,BLOG,234,7389-927,,7389,927
103,16,746,16,Newsletter,5,949-38,,949,38
104,12,298,11,SOCIALMEDIA,133,5433-892,,5433,892
105,11,253,16,Blog,465,4327-1380,,4327,1380
106,11,266,17,socialmedia,335,7793-951,,7793,951
107,12,789,6,Blog,0,150-4,,150,4
108,6,330,15,Blog,56,2826-264,,2826,264
109,4,616,20,BLOG,81,1998-458,,1998,458
110,4,557,3,SOCIALMEDIA,75,1408-307,,1408,307
111,8,900,7,blog,10,1942-99,,1942,99
112,10,526,10,NEWSLETTER,57,2195-578,,2195,578
113,14,70,17,video,31,898-184,,898,184
114,18,943,18,Socialmedia,0,314-12,,314,12
115,11,168,18,Newsletter,113,3068-1210,,3068,1210
116,19,836,1,video,0,106-7,,106,7
117,18,1029,12,Socialmedia,0,924-32,,924,32
118,7,1100,17,blog,0,191-3,,191,3
119,15,224,11,BLOG,117,3962-426,,3962,426
120,7,288,1,VIDEO,164,1674-486,,1674,486
121,7,71,17,VIDEO,1071,8641-3301,,8641,3301
122,12,504,6,Video,63,5471-615,,5471,615
123,8,1112,7,blog,0,908-38,,908,38
124,19,717,7,blog,32,2847-274,,2847,274
125,20,265,12,SOCIALMEDIA,29,621-199,,621,199
126,4,879,20,blog,19,2086-218,,2086,218
127,6,333,6,video,19,989-103,,989,103
128,5,454,17,newsletter,109,2235-408,,2235,408
129,1,626,5,Blog,2,401-30,,401,30
130,1,432,11,SOCIALMEDIA,120,2081-406,,2081,406
131,16,486,11,newsletter,45,2977-695,,2977,695
132,8,240,19,Socialmedia,88,2773-541,,2773,541
133,6,870,18,VIDEO,2,415-34,,415,34
134,14,1013,11,Socialmedia,0,359-18,,359,18
135,16,751,18,Socialmedia,30,2949-352,,2949,352
136,8,217,16,Blog,524,6423-2478,,6423,2478
137,9,342,9,BLOG,46,782-239,,782,239
138,17,398,15,VIDEO,113,2352-425,,2352,425
139,12,416,11,Socialmedia,51,1629-404,,1629,404
140,6,98,6,Video,394,7397-1971,,7397,1971
141,16,420,13,video,30,861-264,,861,264
142,1,1071,6,Video,0,261-5,,261,5
143,1,326,8,Blog,273,3932-784,,3932,784
144,12,800,10,socialmedia,3,689-44,,689,44
145,11,864,15,Newsletter,14,1662-123,,1662,123
146,10,1015,20,NEWSLETTER,0,415-8,,415,8
147,1,871,5,Socialmedia,5,1219-74,,1219,74
148,16,314,17,blog,97,3003-918,,3003,918
149,4,63,7,socialmedia,389,6616-805,,6616,805
150,13,603,6,SOCIALMEDIA,85,4611-373,,4611,373
151,12,547,1,blog,299,5131-1303,,5131,1303
152,4,583,4,newsletter,15,1237-214,,1237,214
153,16,1111,6,blog,0,392-5,,392,5
154,17,263,16,Newsletter,208,2857-804,,2857,804
155,11,520,17,Blog,33,4350-269,,4350,269
156,4,414,19,socialmedia,26,1657-164,,1657,164
157,3,776,10,Socialmedia,7,743-47,,743,47
158,12,185,4,Newsletter,207,4613-1539,,4613,1539
159,18,674,5,Socialmedia,9,361-64,,361,64
160,6,1124,17,NEWSLETTER,0,811-21,,811,21
161,19,506,18,BLOG,180,4407-1105,,4407,1105
162,14,838,17,BLOG,7,1211-104,,1211,104
163,5,39,16,video,233,4613-1553,,4613,1553
164,14,647,6,socialmedia,32,2995-432,,2995,432
165,5,148,8,Newsletter,314,2831-1085,,2831,1085
166,5,319,13,Newsletter,37,1671-280,,1671,280
167,3,229,8,NEWSLETTER,564,8049-2900,,8049,2900
168,14,896,15,SOCIALMEDIA,21,1969-201,,1969,201
169,2,688,10,newsletter,1,101-11,,101,11
170,13,1037,13,Newsletter,1,968-37,,968,37
171,19,1071,1,VIDEO,0,79-2,,79,2
172,1,378,9,socialmedia,15,801-97,,801,97
173,3,160,17,video,393,6025-2221,,6025,2221
174,18,533,3,SOCIALMEDIA,27,5073-312,,5073,312
175,16,558,15,video,16,3550-300,,3550,300
176,4,210,5,SOCIALMEDIA,16,1142-121,,1142,121
177,7,114,5,blog,773,8103-1781,,8103,1781
178,13,285,11,newsletter,95,3906-465,,3906,465
179,19,886,19,video,3,1052-65,,1052,65
180,12,414,11,Blog,113,4079-473,,4079,473
181,13,795,14,Video,12,2963-199,,2963,199
182,12,516,20,Video,6,422-68,,422,68
183,16,787,4,blog,5,1395-87,,1395,87
184,15,1005,13,blog,0,168-6,,168,6
185,2,465,9,blog,66,2229-255,,2229,255
186,13,747,11,newsletter,24,2308-187,,2308,187
187,10,485,6,blog,197,2478-717,,2478,717
188,7,871,20,blog,2,2009-53,,2009,53
189,9,318,4,blog,266,2523-840,,2523,840
190,11,164,17,newsletter,400,5753-1480,,5753,1480
191,19,792,18,NEWSLETTER,13,2687-123,,2687,123
192,12,664,10,SOCIALMEDIA,54,1556-312,,1556,312
193,2,606,9,blog,26,3358-400,,3358,400
194,10,258,15,Socialmedia,125,5719-587,,5719,587
195,10,555,10,socialmedia,1,76-7,,76,7
196,4,1097,13,video,0,769-28,,769,28
197,11,396,4,Video,172,5012-1452,,5012,1452
198,12,63,8,Video,117,2336-1076,,2336,1076
199,5,880,1,Socialmedia,4,1754-63,,1754,63
200,10,85,14,newsletter,72,653-240,,653,240
201,5,940,1,blog,0,786-21,,786,21
202,2,872,17,Video,1,680-27,,680,27
203,18,35,1,socialmedia,306,4496-1368,,4496,1368
204,7,735,11,NEWSLETTER,6,1799-160,,1799,160
205,1,90,13,NEWSLETTER,253,5215-741,,5215,741
206,20,858,9,blog,7,1992-109,,1992,109
207,14,803,1,Newsletter,6,440-50,,440,50
208,18,511,15,Blog,2,131-32,,131,32
209,7,984,3,VIDEO,1,779-24,,779,24
210,12,266,13,Socialmedia,232,2113-624,,2113,624
211,1,937,12,Socialmedia,0,632-17,,632,17
212,16,737,18,Blog,3,379-20,,379,20
213,3,63,16,Newsletter,24,159-53,,159,53
214,1,902,16,SOCIALMEDIA,0,423-20,,423,20
215,3,378,14,Blog,21,4381-303,,4381,303
216,17,249,4,Video,234,4938-1068,,4938,1068
217,12,61,4,Video,279,6297-1624,,6297,1624
218,9,658,18,Video,80,2280-480,,2280,480
219,20,105,5,Socialmedia,376,2900-1294,,2900,1294
220,4,412,11,newsletter,53,4512-432,,4512,432
221,20,465,6,Newsletter,51,1671-199,,1671,199
222,8,990,17,Blog,0,93-4,,93,4
223,4,984,3,socialmedia,2,1157-42,,1157,42
224,4,931,7,blog,4,1625-62,,1625,62
225,3,180,13,Socialmedia,71,2610-245,,2610,245
226,10,796,7,Newsletter,5,301-37,,301,37
227,10,827,20,Newsletter,5,918-73,,918,73
228,19,1068,2,video,0,780-18,,780,18
229,12,58,17,Video,291,2361-746,,2361,746
230,10,772,3,newsletter,23,1489-162,,1489,162
231,8,174,13,Newsletter,39,2236-396,,2236,396
232,8,283,8,video,105,4956-495,,4956,495
233,11,979,1,SOCIALMEDIA,0,1063-20,,1063,20
234,7,469,11,blog,7,191-41,,191,41
235,19,621,2,newsletter,78,3808-520,,3808,520
236,13,411,16,NEWSLETTER,78,1857-324,,1857,324
237,1,1059,5,newsletter,0,579-10,,579,10
238,15,354,9,Blog,14,1426-167,,1426,167
239,10,664,11,Video,10,1445-83,,1445,83
240,1,1058,20,video,0,801-38,,801,38
241,6,186,17,VIDEO,41,2226-478,,2226,478
242,19,164,17,video,70,2178-280,,2178,280
243,3,126,6,Newsletter,336,3829-1284,,3829,1284
244,18,796,11,newsletter,22,1907-282,,1907,282
245,7,77,10,Video,339,9002-2059,,9002,2059
246,5,462,20,VIDEO,256,4556-1277,,4556,1277
247,1,428,9,Blog,193,5576-860,,5576,860
248,4,875,16,blog,1,680-24,,680,24
249,11,934,10,VIDEO,0,194-12,,194,12
250,15,91,17,Video,708,3931-1744,,3931,1744
251,10,843,2,Socialmedia,0,254-17,,254,17
252,5,1082,10,SOCIALMEDIA,0,456-8,,456,8
253,3,132,16,Video,363,2279-972,,2279,972
254,6,1023,1,Video,0,328-12,,328,12
255,4,682,19,Newsletter,63,3126-617,,3126,617
256,15,766,15,Blog,29,3106-290,,3106,290
257,19,1099,7,NEWSLETTER,0,622-20,,622,20
258,3,332,7,socialmedia,132,3715-1027,,3715,1027
259,17,598,1,Newsletter,29,1629-388,,1629,388
260,13,860,15,Video,14,1920-177,,1920,177
261,15,767,17,video,12,852-79,,852,79
262,6,950,10,Blog,0,171-6,,171,6
263,8,875,20,Newsletter,11,2044-132,,2044,132
264,10,963,16,SOCIALMEDIA,0,473-23,,473,23
265,5,236,1,SOCIALMEDIA,5,164-64,,164,64
266,9,840,13,Blog,0,553-16,,553,16
267,7,353,14,Video,42,4348-376,,4348,376
268,12,61,3,Socialmedia,235,5367-1627,,5367,1627
269,16,326,3,socialmedia,232,6484-763,,6484,763
270,1,138,20,Newsletter,203,4749-2069,,4749,2069
271,1,1078,19,Socialmedia,0,774-27,,774,27
272,15,1060,8,Video,0,198-8,,198,8
273,19,346,9,blog,60,506-175,,506,175
274,2,76,12,Video,820,5486-1725,,5486,1725
275,8,854,10,NEWSLETTER,9,951-117,,951,117
276,17,680,11,SOCIALMEDIA,13,1079-73,,1079,73
277,13,300,8,Newsletter,285,4437-789,,4437,789
278,10,153,2,newsletter,426,8679-967,,8679,967
279,3,653,3,newsletter,13,1741-86,,1741,86
280,11,721,18,Socialmedia,9,779-88,,779,88
281,18,858,9,socialmedia,0,115-5,,115,5
282,14,932,13,Blog,1,998-72,,998,72
283,16,908,10,blog,1,961-29,,961,29
284,7,702,1,Video,41,3654-231,,3654,231
285,15,797,10,blog,25,2374-300,,2374,300
286,9,829,17,Video,6,745-78,,745,78
287,17,1079,2,socialmedia,0,625-25,,625,25
288,10,214,6,socialmedia,255,7333-1200,,7333,1200
289,2,725,6,Blog,40,2622-364,,2622,364
290,7,299,13,Socialmedia,521,6881-2028,,6881,2028
291,12,638,18,Newsletter,47,1683-321,,1683,321
292,15,223,7,blog,259,6436-1497,,6436,1497
293,5,582,13,Socialmedia,91,1712-395,,1712,395
294,16,335,15,Blog,523,7071-1859,,7071,1859
295,17,380,1,VIDEO,520,5666-1655,,5666,1655
296,13,77,14,socialmedia,169,3196-1111,,3196,1111
297,12,686,12,Video,69,2929-410,,2929,410
298,1,1023,6,Newsletter,0,151-2,,151,2
299,20,204,14,Socialmedia,48,1026-320,,1026,320
300,14,452,8,newsletter,8,1055-66,,1055,66
301,10,382,19,Newsletter,69,3988-570,,3988,570
302,20,1092,9,socialmedia,0,683-20,,683,20
303,1,983,17,BLOG,0,167-2,,167,2
304,20,870,2,BLOG,18,2308-261,,2308,261
305,19,223,17,Video,152,6103-790,,6103,790
306,10,1062,16,blog,0,48-2,,48,2
307,11,735,10,Blog,31,1616-190,,1616,190
308,13,471,17,video,25,1902-365,,1902,365
309,10,912,9,newsletter,2,1513-68,,1513,68
310,7,168,11,Newsletter,69,2673-537,,2673,537
311,13,317,11,VIDEO,210,6357-968,,6357,968
312,7,35,3,Newsletter,570,9205-1157,,9205,1157
313,19,161,6,Newsletter,316,6876-1581,,6876,1581
314,18,669,1,video,10,694-81,,694,81
315,9,703,2,newsletter,1,152-13,,152,13
316,19,712,4,socialmedia,27,1508-196,,1508,196
317,10,228,16,SOCIALMEDIA,94,1974-785,,1974,785
318,20,933,12,socialmedia,1,378-29,,378,29
319,7,658,10,Newsletter,17,1123-137,,1123,137
320,3,659,8,VIDEO,5,440-85,,440,85
321,12,934,15,Socialmedia,5,1057-58,,1057,58
322,4,1009,15,video,0,32-0,,32,0
323,6,889,15,NEWSLETTER,6,1833-197,,1833,197
324,12,918,3,Newsletter,2,497-40,,497,40
325,9,789,10,BLOG,7,1092-56,,1092,56
326,9,713,1,Blog,14,3117-213,,3117,213
327,14,399,20,blog,42,603-133,,603,133
328,10,637,11,Socialmedia,32,2884-144,,2884,144
329,19,514,3,Video,197,3374-773,,3374,773
330,1,191,9,newsletter,943,8091-2991,,8091,2991
331,12,877,2,SOCIALMEDIA,3,499-28,,499,28
332,11,277,1,Blog,53,2533-355,,2533,355
333,6,57,4,Video,110,5670-734,,5670,734
334,8,148,19,NEWSLETTER,339,4405-1143,,4405,1143
335,10,748,19,BLOG,11,1084-118,,1084,118
336,4,672,11,video,41,1619-249,,1619,249
337,5,522,15,Video,75,1915-382,,1915,382
338,1,763,5,Blog,23,2000-198,,2000,198
339,1,295,3,newsletter,460,6753-2013,,6753,2013
340,14,481,20,SOCIALMEDIA,455,5854-1604,,5854,1604
341,9,768,10,socialmedia,7,1679-174,,1679,174
342,6,103,4,BLOG,199,2100-713,,2100,713
343,15,536,10,Video,4,79-19,,79,19
344,10,1070,16,Blog,0,347-16,,347,16
345,13,214,19,Video,781,7762-2590,,7762,2590
346,20,630,2,SOCIALMEDIA,20,1758-182,,1758,182
347,15,313,5,Video,244,2401-713,,2401,713
348,13,638,1,Newsletter,29,2316-164,,2316,164
349,6,606,19,Socialmedia,117,4394-592,,4394,592
350,20,285,12,newsletter,296,4529-1221,,4529,1221
351,12,475,18,BLOG,4,478-30,,478,30
352,8,36,14,Newsletter,94,2585-319,,2585,319
353,9,780,11,blog,12,847-126,,847,126
354,18,1076,7,BLOG,0,720-21,,720,21
355,2,708,6,VIDEO,54,3382-532,,3382,532
356,5,417,2,blog,94,3688-808,,3688,808
357,7,681,7,Socialmedia,31,3251-157,,3251,157
358,6,831,4,blog,0,74-2,,74,2
359,20,214,6,Video,633,5643-1767,,5643,1767
360,3,597,6,Newsletter,43,2486-463,,2486,463
361,13,206,15,VIDEO,26,1656-164,,1656,164
362,14,161,14,Socialmedia,355,7779-1000,,7779,1000
363,1,504,20,video,97,2018-441,,2018,441
364,20,86,6,Blog,1284,7805-3328,,7805,3328
365,17,1044,14,blog,0,448-9,,448,9
366,13,663,5,Socialmedia,27,2951-221,,2951,221
367,20,1055,1,Socialmedia,0,75-1,,75,1
368,8,503,15,Video,185,4897-982,,4897,982
369,11,82,15,Socialmedia,180,1289-449,,1289,449
370,14,621,7,socialmedia,13,1918-118,,1918,118
371,16,610,19,Newsletter,39,3206-245,,3206,245
372,2,439,3,NEWSLETTER,271,5168-1366,,5168,1366
373,17,574,3,Socialmedia,241,4519-1024,,4519,1024
374,15,502,10,Blog,333,5248-1210,,5248,1210
375,9,1072,7,Blog,0,439-11,,439,11
376,8,632,1,Blog,100,4372-899,,4372,899
377,16,851,16,BLOG,1,148-16,,148,16
378,18,262,14,VIDEO,526,7680-2029,,7680,2029
379,18,471,10,Video,66,1942-392,,1942,392
380,16,782,20,Socialmedia,3,273-33,,273,33
